country,iso3,subregion,year,drought_events,total_affected,drought_occurred
Somalia,SOM,Sub-Saharan Africa,2005,1,0,1
Somalia,SOM,Sub-Saharan Africa,2008,1,3300000,1
Somalia,SOM,Sub-Saharan Africa,2010,1,4000000,1
Somalia,SOM,Sub-Saharan Africa,2012,1,3000000,1
Somalia,SOM,Sub-Saharan Africa,2014,1,535624,1
Somalia,SOM,Sub-Saharan Africa,2015,1,6700000,1
Somalia,SOM,Sub-Saharan Africa,2019,1,1500000,1
Somalia,SOM,Sub-Saharan Africa,2021,1,7100000,1
South Africa,ZAF,Sub-Saharan Africa,2004,1,15000000,1
South Africa,ZAF,Sub-Saharan Africa,2015,1,2700000,1
South Africa,ZAF,Sub-Saharan Africa,2017,1,0,1
South Africa,ZAF,Sub-Saharan Africa,2019,1,750000,1
South Africa,ZAF,Sub-Saharan Africa,2021,1,12000000,1
South Sudan,SSD,Sub-Saharan Africa,2009,1,4300000,1
South Sudan,SSD,Sub-Saharan Africa,2016,1,3600000,1
South Sudan,SSD,Sub-Saharan Africa,2021,1,7723670,1
Sudan,SDN,Northern Africa,2000,1,2000000,1
Sudan,SDN,Northern Africa,2012,1,3200000,1
Sudan,SDN,Northern Africa,2015,1,800000,1
Sudan,SDN,Northern Africa,2022,1,11839300,1
Uganda,UGA,Sub-Saharan Africa,2002,1,655000,1
Uganda,UGA,Sub-Saharan Africa,2005,1,600000,1
Uganda,UGA,Sub-Saharan Africa,2008,1,1100000,1
Uganda,UGA,Sub-Saharan Africa,2011,1,669000,1
Uganda,UGA,Sub-Saharan Africa,2022,1,518000,1
United Republic of Tanzania,TZA,Sub-Saharan Africa,2003,1,1900000,1
United Republic of Tanzania,TZA,Sub-Saharan Africa,2004,1,254000,1
United Republic of Tanzania,TZA,Sub-Saharan Africa,2006,1,3700000,1
United Republic of Tanzania,TZA,Sub-Saharan Africa,2011,1,1000000,1
United Republic of Tanzania,TZA,Sub-Saharan Africa,2021,1,2100000,1
Zambia,ZMB,Sub-Saharan Africa,2005,1,1200000,1
Zambia,ZMB,Sub-Saharan Africa,2019,1,1430000,1
Zambia,ZMB,Sub-Saharan Africa,2021,1,1580000,1
Zimbabwe,ZWE,Sub-Saharan Africa,2001,1,6000000,1
Zimbabwe,ZWE,Sub-Saharan Africa,2007,1,2100000,1
Zimbabwe,ZWE,Sub-Saharan Africa,2010,1,1667618,1
Zimbabwe,ZWE,Sub-Saharan Africa,2013,1,4300000,1
Zimbabwe,ZWE,Sub-Saharan Africa,2017,1,6900000,1
Zimbabwe,ZWE,Sub-Saharan Africa,2021,1,167500,1
