DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2021-9148-ZAF,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,ZAF,South Africa,Sub-Saharan Africa,Africa,,,Food shortage,No,No,No,,,Km2,,,,2021,3,,2021,3,,,,12000000,,12000000,,,,,,,86.38165694,,,2021-03-16,2023-09-25
2022-9781-BFA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,BFA,Burkina Faso,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,3500928,,3500928,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9782-CMR,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CMR,Cameroon,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,2389127,,2389127,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9783-CAF,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CAF,Central African Republic,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,2221692,,2221692,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9784-COD,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,25972806,,25972806,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9785-MWI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MWI,Malawi,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,2678193,,2678193,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9786-MLI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,MLI,Mali,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,1735753,,1735753,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9787-NGA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NGA,Nigeria,Sub-Saharan Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,19110398,,19110398,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2022-9788-SDN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SDN,Sudan,Northern Africa,Africa,,,,No,No,No,,,Km2,,,,2022,,,2022,11,,,,11839300,,11839300,,,,,,,93.29460735,,,2022-11-29,2023-09-26
2023-9390-LSO,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000071,,LSO,Lesotho,Sub-Saharan Africa,Africa,"Maseru, Mohale's Hoek, Qacha's Nek, Quthing",El Nino,Food shortage|Water shortage,No,No,Yes,,,Km2,,,,2023,12,,2025,,,,,699049,,699049,,,,,,,97.13499264,,,2024-06-17,2025-08-29
2023-9878-MOZ,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000073,,MOZ,Mozambique,Sub-Saharan Africa,Africa,"Manica,Tete, Gaza, and Inhambane provinces",El Nino,Food shortage,No,No,No,,,Km2,,,,2023,10,,2024,5,,,,3300000,,3300000,,,,,,,97.13499264,,,2024-06-07,2024-07-29
2023-9879-BWA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000091,,BWA,Botswana,Sub-Saharan Africa,Africa,"Southern, North East",,,No,No,Yes,,,Km2,,,,2023,7,,2024,6,,,,37000,,37000,,,,,,,97.13499264,,,2024-06-12,2024-08-12
2024-9197-MWI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000066|GLIDE:DR-2024-000069,,MWI,Malawi,Sub-Saharan Africa,Africa,,El Nino,Food shortage|Water shortage,No,Yes,Yes,,,Km2,,,,2024,4,,2025,,,,,6100000,,6100000,,,,,400000,400000,100,,,2024-04-05,2025-11-04
